timestamp,電池_電壓,電池_電流,電池_R+,電池_R-,電池_SOC,電池_SOH,Rack容量資訊_rechargeableBatteryCapacity,Rack容量資訊_dischargeableCapacity,Rack容量資訊_singleChargeEnergy,Rack容量資訊_singleDischargeEnergy,Rack容量資訊_accumulatedChargingEnergy,Rack容量資訊_accumulatedDisChargingEnergy,Rack容量資訊_accumulatedDailyChargingEnergy,Rack容量資訊_accumulatedDailyDisChargingEnergy,Rack極端值資訊_rackCellMaxVoltage,Rack極端值資訊_rackCellMaxVoltageIndex,Rack極端值資訊_rackCellMinVoltage,Rack極端值資訊_rackCellMinVoltageIndex,Rack極端值資訊_rackCellMaxTemperature,Rack極端值資訊_rackCellMaxTemperatureIndex,Rack極端值資訊_rackCellMinTemperature,Rack極端值資訊_rackCellMinTemperatureIndex,Rack極端值資訊_rackCellMaxSoc,Rack極端值資訊_rackCellMaxSocIndex,Rack極端值資訊_rackCellMinSoc,Rack極端值資訊_rackCellMinSocIndex,Rack極端值資訊_rackCellMaxSoh,Rack極端值資訊_rackCellMaxSohIndex,Rack極端值資訊_rackCellMinSoh,Rack極端值資訊_rackCellMinSohIndex,Rack極端值資訊_time,PCS_系統資訊_啟停狀態,PCS_系統資訊_併網/離網,PCS_系統資訊_充電狀態,PCS_系統資訊_放電狀態,PCS_系統資訊_故障狀態,PCS_系統資訊_告警狀態,PCS_系統資訊_控制模式,PCS_系統資訊_模組溫度,PCS_系統資訊_環境溫度,PCS_系統資訊_櫃內溫度,PCS_電量統計資訊_交流總有功功率,PCS_電量統計資訊_交流總無功功率,PCS_電量統計資訊_交流總視在功率,PCS_電量統計資訊_可用有功容量,PCS_電量統計資訊_當日充電電量,PCS_電量統計資訊_當日放電電量,PCS_直流資訊_直流輸入電壓,PCS_直流資訊_直流電流,PCS_直流資訊_直流功率,PCS_交流資訊_AB線電壓,PCS_交流資訊_BC線電壓,PCS_交流資訊_CA線電壓,PCS_交流資訊_A相電流,PCS_交流資訊_B相電流,PCS_交流資訊_C相電流,PCS_交流資訊_母線頻率,環控空調_執行狀態,環控空調_工作模式,環控空調_設定溫度,環控空調_櫃內溫度,環控空調_櫃內濕度,環控_水系統_alarm,環控_UPS_batteryCapacity,環控_UPS_batteryVoltage,環控_UPS_bypassInputPhaseCurrent,環控_UPS_batteryChargingLevel,環控_UPS_outputPhaseCurrent,環控_UPS_inputPhaseVoltage,環控_UPS_outputPhaseVoltage,環控_UPS_outputLoadLevel,環控_UPS_batteryBackupTime,環控_UPS_powerFactor,環控_UPS_nominalActivePower,環控_UPS_outputActivePower,環控_UPS_outputApparentPower,環控_UPS_nominalApparentPower,環控_UPS_highEfficiencyMode,環控_UPS_loadProtectedStatus,環控_UPS_OperationStatus,環控_UPS_unitGeneralAlarm,環控_UPS_batteryLowWarningStatus,環控_UPS_OverloadStatus,環控_UPS_emergencyStopStatus,環控_UPS_CoupledStatus,環控_UPS_workingMode,環控_串口ttyS0_lightRed,環控_串口ttyS0_waterPumpOn,環控_串口ttyS0_liquidHigh,環控_串口ttyS0_emergencyButton,環控_串口ttyS0_accessControl,環控_串口ttyS0_liquidLow,環控_串口ttyS0_lightGreen,環控_串口ttyS0_lightYellow,環控_串口ttyS0_fireAlarm,環控_串口ttyS0_fireMalfunction,環控_串口ttyS0_SPD,環控_串口ttyS0_airFail,環控_串口ttyS0_airExhaust,環控_串口ttyS0_buzzerOpne,多功能傳感器_temperature,多功能傳感器_humidity,多功能傳感器_ch4,多功能傳感器_h2,AC380電量儀_phaseVoltageAB,AC380電量儀_phaseVoltageBC,AC380電量儀_phaseVoltageCA,AC380電量儀_phaseCurrentA,AC380電量儀_phaseCurrentB,AC380電量儀_phaseCurrentC,AC380電量儀_activePowerA,AC380電量儀_activePowerB,AC380電量儀_activePowerC,AC380電量儀_totalActivePower,AC380電量儀_reactivePowerA,AC380電量儀_reactivePowerB,AC380電量儀_reactivePowerC,AC380電量儀_totalReactivePower,AC380電量儀_apparentPowerA,AC380電量儀_apparentPowerB,AC380電量儀_apparentPowerC,AC380電量儀_totalApparentPower,AC380電量儀_powerFactorA,AC380電量儀_powerFactorB,AC380電量儀_powerFactorC,AC380電量儀_totalPowerFactor,告警_API總數,告警_本批啟用數
2026-07-06 15:28:00,900.6 V,0.0 A,65534 KΩ,16777 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783322845231,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,381.10 V,381.30 V,379.80 V,0.00 A,0.00 A,0.00 A,59.99 Hz,運轉中,送風,21 ℃,21.60 ℃,43 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,219 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,20.70 ℃,49.20 %,0 %LEL,0 ppm,380.9 V,381.3 V,380.7 V,1.05 A,1.05 A,2.15 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.215 kvar,-0.215 kvar,-0.44 kvar,-0.87 kvar,0.23 kVA,0.23 kVA,0.47 kVA,0.93 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:28:10,900.6 V,0.0 A,65534 KΩ,16803 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,94,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783322856249,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.80 V,0.00 A,0.00 kW,380.40 V,381.30 V,379.60 V,0.00 A,0.00 A,0.00 A,59.98 Hz,運轉中,送風,21 ℃,21.80 ℃,45 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,219 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,20.80 ℃,52.50 %,0 %LEL,0 ppm,380.7 V,381.2 V,380.6 V,1.05 A,1.05 A,2.15 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.215 kvar,-0.215 kvar,-0.435 kvar,-0.86 kvar,0.23 kVA,0.23 kVA,0.47 kVA,0.93 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:28:21,900.6 V,0.0 A,65534 KΩ,16808 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,84,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783322866834,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,380.00 V,381.20 V,379.50 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,21.90 ℃,49 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,219 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,20.80 ℃,56.40 %,0 %LEL,0 ppm,380.9 V,381.3 V,380.7 V,1.05 A,1.05 A,2.15 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.215 kvar,-0.215 kvar,-0.44 kvar,-0.87 kvar,0.23 kVA,0.23 kVA,0.47 kVA,0.93 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:28:27,900.6 V,0.0 A,65534 KΩ,16808 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,61,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783322873164,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,380.00 V,381.20 V,379.50 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,21.90 ℃,51 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,219 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,20.80 ℃,58.20 %,0 %LEL,0 ppm,380.7 V,381.1 V,380.4 V,1.05 A,1.05 A,2.15 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.215 kvar,-0.215 kvar,-0.44 kvar,-0.87 kvar,0.23 kVA,0.23 kVA,0.47 kVA,0.93 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:31:30,900.6 V,0.0 A,65534 KΩ,16766 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323055120,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-8.00 V,0.00 A,0.00 kW,380.90 V,381.70 V,380.50 V,0.00 A,0.00 A,0.00 A,59.97 Hz,運轉中,除濕,21 ℃,22.40 ℃,66 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.70 ℃,71.50 %,0 %LEL,0 ppm,381.8 V,382.2 V,381.4 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.435 kvar,-0.86 kvar,0.22 kVA,0.225 kVA,0.45 kVA,0.895 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:03,900.6 V,0.0 A,65534 KΩ,16783 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,53,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323208538,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,380.90 V,382.10 V,379.90 V,0.00 A,0.00 A,0.00 A,59.99 Hz,運轉中,送風,21 ℃,22.10 ℃,47 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.30 ℃,53.90 %,0 %LEL,0 ppm,381.3 V,381.9 V,381.3 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.435 kvar,-0.86 kvar,0.22 kVA,0.22 kVA,0.445 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:13,900.6 V,0.0 A,65534 KΩ,16783 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,53,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323218444,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.20 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,380.70 V,381.80 V,380.40 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,22.10 ℃,50 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.30 ℃,57.00 %,0 %LEL,0 ppm,381.5 V,382.0 V,381.5 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.435 kvar,-0.86 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:24,900.6 V,0.0 A,65534 KΩ,16791 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,94,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323229838,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,381.10 V,381.90 V,380.90 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,22.20 ℃,54 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,219 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.30 ℃,60.40 %,0 %LEL,0 ppm,381.6 V,382.1 V,381.5 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.435 kvar,-0.86 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:35,900.6 V,0.0 A,65534 KΩ,16782 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,30,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323240228,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,381.10 V,381.90 V,380.90 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,22.30 ℃,56 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.50 ℃,63.00 %,0 %LEL,0 ppm,381.8 V,382.4 V,381.8 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:45,900.6 V,0.0 A,65534 KΩ,16782 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,22,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323250123,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.60 V,0.00 A,0.00 kW,381.20 V,381.90 V,380.70 V,0.00 A,0.00 A,0.00 A,59.97 Hz,運轉中,送風,21 ℃,22.20 ℃,59 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.50 ℃,65.40 %,0 %LEL,0 ppm,381.5 V,382.1 V,381.6 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:34:56,900.6 V,0.0 A,65534 KΩ,16753 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,53,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323261621,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,381.20 V,382.10 V,380.80 V,0.00 A,0.00 A,0.00 A,59.97 Hz,運轉中,送風,21 ℃,22.30 ℃,61 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.50 ℃,67.40 %,0 %LEL,0 ppm,381.7 V,382.3 V,381.8 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:35:06,900.6 V,0.0 A,65534 KΩ,16767 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,53,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323271903,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,381.20 V,382.10 V,380.80 V,0.00 A,0.00 A,0.00 A,59.97 Hz,運轉中,送風,21 ℃,22.30 ℃,63 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.60 ℃,69.00 %,0 %LEL,0 ppm,381.6 V,382.3 V,381.7 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:35:17,900.6 V,0.0 A,65534 KΩ,16767 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,53,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323281827,停機,併網,否,否,故障,正常,遠端,27 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.70 V,0.00 A,0.00 kW,380.90 V,382.20 V,380.80 V,0.00 A,0.00 A,0.00 A,59.97 Hz,運轉中,送風,21 ℃,22.30 ℃,64 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,54 %,3.00 KW,0.07 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.60 ℃,70.50 %,0 %LEL,0 ppm,381.8 V,382.4 V,381.8 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:35:27,900.6 V,0.0 A,65534 KΩ,16765 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,9,3.214 V,41,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323293398,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.50 V,0.00 A,0.00 kW,380.90 V,382.30 V,380.80 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,22.50 ℃,65 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.70 ℃,71.80 %,0 %LEL,0 ppm,381.8 V,382.4 V,381.8 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
2026-07-06 15:35:38,900.6 V,0.0 A,65534 KΩ,16767 KΩ,9 %,99 %,228.3 KWh,22.58 KWh,0.0 KWh,0.0 KWh,30028.3 KWh,29093.5 KWh,0.0 KWh,0.0 KWh,3.219 V,2,3.214 V,94,27 ℃,172,22 ℃,5,13 %,202,10 %,43,99 %,1,99 %,1,1783323303585,停機,併網,否,否,故障,正常,遠端,26 ℃,32 ℃,24 ℃,-1.30 kW,0.00 kVar,1.30 kVA,160.00 kW,0 kWh,0 kWh,-7.50 V,0.00 A,0.00 kW,380.90 V,382.30 V,380.80 V,0.00 A,0.00 A,0.00 A,59.96 Hz,運轉中,送風,21 ℃,22.40 ℃,67 %,type.attr.normal,100 %,83 V,0 A,100 %,1 A,220 V,220 V,4 %,293.14 min,46 %,3.00 KW,0.06 KW,0.13 KVA,3.00 KVA,type.attr.ordinaryMode,type.attr.loadProtection,type.attr.beRunning,type.attr.unitNoGeneralAlarm,type.attr.batteryPowerIsGood,type.attr.nonOverload,type.attr.notInEmergencyStop,type.attr.connected,type.attr.mainsMode,0,0,1,1,1,1,1,1,1,1,1,0,0,0,21.70 ℃,72.90 %,0 %LEL,0 ppm,381.6 V,382.4 V,381.8 V,1.0 A,1.0 A,2.05 A,0.0 kW,0.0 kW,0.0 kW,0.0 kW,-0.21 kvar,-0.215 kvar,-0.44 kvar,-0.865 kvar,0.22 kVA,0.22 kVA,0.45 kVA,0.89 kVA,1.0,1.0,1.0,1.0,38,1
